Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3455494858937311
75% Corpus,2,0.01,0.31,0.3650476144224535
75% Corpus,2,0.01,0.61,0.3684876625706724
75% Corpus,2,0.01,0.9099999999999999,0.3322608685468542
75% Corpus,2,0.01,symmetric,0.3325794668900908
75% Corpus,2,0.31,0.01,0.3335146876860739
75% Corpus,2,0.31,0.31,0.37679184140023914
75% Corpus,2,0.31,0.61,0.334413567841417
75% Corpus,2,0.31,0.9099999999999999,0.32737174451008433
75% Corpus,2,0.31,symmetric,0.3245161878127294
75% Corpus,2,0.61,0.01,0.36063720927106746
75% Corpus,2,0.61,0.31,0.3654875380171487
75% Corpus,2,0.61,0.61,0.3194500177377349
75% Corpus,2,0.61,0.9099999999999999,0.32073732957197904
75% Corpus,2,0.61,symmetric,0.32702398235351066
75% Corpus,2,0.9099999999999999,0.01,0.36524092151036686
75% Corpus,2,0.9099999999999999,0.31,0.3567753059913099
75% Corpus,2,0.9099999999999999,0.61,0.3331219342654532
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.292511354050442
75% Corpus,2,0.9099999999999999,symmetric,0.3294364296064985
75% Corpus,2,symmetric,0.01,0.33793178269146384
75% Corpus,2,symmetric,0.31,0.3371162607711565
75% Corpus,2,symmetric,0.61,0.37600062831618764
75% Corpus,2,symmetric,0.9099999999999999,0.3706470218028653
75% Corpus,2,symmetric,symmetric,0.3272784319526923
75% Corpus,2,asymmetric,0.01,0.33580473847074244
75% Corpus,2,asymmetric,0.31,0.33370927660859895
75% Corpus,2,asymmetric,0.61,0.3657374893841903
75% Corpus,2,asymmetric,0.9099999999999999,0.29761518982673674
75% Corpus,2,asymmetric,symmetric,0.34123511814642327
75% Corpus,3,0.01,0.01,0.32141058848143317
75% Corpus,3,0.01,0.31,0.35489053609717996
75% Corpus,3,0.01,0.61,0.35940585896264876
75% Corpus,3,0.01,0.9099999999999999,0.33011119069241834
75% Corpus,3,0.01,symmetric,0.31045348532917294
75% Corpus,3,0.31,0.01,0.34611937985248137
75% Corpus,3,0.31,0.31,0.3381228159110726
75% Corpus,3,0.31,0.61,0.3632990581233183
75% Corpus,3,0.31,0.9099999999999999,0.3073074461083196
75% Corpus,3,0.31,symmetric,0.34692974516562397
75% Corpus,3,0.61,0.01,0.3513516336343462
75% Corpus,3,0.61,0.31,0.33806961901965293
75% Corpus,3,0.61,0.61,0.3518185389121413
75% Corpus,3,0.61,0.9099999999999999,0.31883060746865055
75% Corpus,3,0.61,symmetric,0.3275136894964862
75% Corpus,3,0.9099999999999999,0.01,0.3411735812446374
75% Corpus,3,0.9099999999999999,0.31,0.3520669783997241
75% Corpus,3,0.9099999999999999,0.61,0.33745517941945624
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.31877519616543987
75% Corpus,3,0.9099999999999999,symmetric,0.3274265468946018
75% Corpus,3,symmetric,0.01,0.3228288927814121
75% Corpus,3,symmetric,0.31,0.38911263472798957
75% Corpus,3,symmetric,0.61,0.3567168390465478
75% Corpus,3,symmetric,0.9099999999999999,0.34106731520306355
75% Corpus,3,symmetric,symmetric,0.32784170555947334
75% Corpus,3,asymmetric,0.01,0.3347058671340952
75% Corpus,3,asymmetric,0.31,0.3546104842447422
75% Corpus,3,asymmetric,0.61,0.3671307530261044
75% Corpus,3,asymmetric,0.9099999999999999,0.36319725522158636
75% Corpus,3,asymmetric,symmetric,0.3349457899932065
75% Corpus,4,0.01,0.01,0.3204567316845879
75% Corpus,4,0.01,0.31,0.34881285431941955
75% Corpus,4,0.01,0.61,0.3332302352631511
75% Corpus,4,0.01,0.9099999999999999,0.3378734631489633
75% Corpus,4,0.01,symmetric,0.3103514861801435
75% Corpus,4,0.31,0.01,0.32833615153351614
75% Corpus,4,0.31,0.31,0.382526837360355
75% Corpus,4,0.31,0.61,0.4199600504556774
75% Corpus,4,0.31,0.9099999999999999,0.34487463078400915
75% Corpus,4,0.31,symmetric,0.32283612835673503
75% Corpus,4,0.61,0.01,0.37755015989759055
75% Corpus,4,0.61,0.31,0.36253183511138487
75% Corpus,4,0.61,0.61,0.3723500594002275
75% Corpus,4,0.61,0.9099999999999999,0.315436657983038
75% Corpus,4,0.61,symmetric,0.3415246108110286
75% Corpus,4,0.9099999999999999,0.01,0.3662687292412003
75% Corpus,4,0.9099999999999999,0.31,0.33845525144259625
75% Corpus,4,0.9099999999999999,0.61,0.3472986961845877
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3179556308954549
75% Corpus,4,0.9099999999999999,symmetric,0.3265176157868861
75% Corpus,4,symmetric,0.01,0.3188705864456563
75% Corpus,4,symmetric,0.31,0.36167509200516884
75% Corpus,4,symmetric,0.61,0.3820610623310958
75% Corpus,4,symmetric,0.9099999999999999,0.32566890004367116
75% Corpus,4,symmetric,symmetric,0.3120711607894059
75% Corpus,4,asymmetric,0.01,0.3258740593070888
75% Corpus,4,asymmetric,0.31,0.39345400311764167
75% Corpus,4,asymmetric,0.61,0.36945574006741316
75% Corpus,4,asymmetric,0.9099999999999999,0.31605756294446175
75% Corpus,4,asymmetric,symmetric,0.3346858133879609
75% Corpus,5,0.01,0.01,0.35006322976770377
75% Corpus,5,0.01,0.31,0.3926886683599497
75% Corpus,5,0.01,0.61,0.3584178951553946
75% Corpus,5,0.01,0.9099999999999999,0.34183342989209636
75% Corpus,5,0.01,symmetric,0.34133201849242895
75% Corpus,5,0.31,0.01,0.3307784728966359
75% Corpus,5,0.31,0.31,0.36063371233948105
75% Corpus,5,0.31,0.61,0.3835397792546829
75% Corpus,5,0.31,0.9099999999999999,0.353617294104444
75% Corpus,5,0.31,symmetric,0.32206734109293933
75% Corpus,5,0.61,0.01,0.32959842252470806
75% Corpus,5,0.61,0.31,0.3336231600974761
75% Corpus,5,0.61,0.61,0.3382516846588956
75% Corpus,5,0.61,0.9099999999999999,0.31605591413967904
75% Corpus,5,0.61,symmetric,0.31761806759967487
75% Corpus,5,0.9099999999999999,0.01,0.3389600469961802
75% Corpus,5,0.9099999999999999,0.31,0.37949895418619417
75% Corpus,5,0.9099999999999999,0.61,0.33550116271080604
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.32180382168442356
75% Corpus,5,0.9099999999999999,symmetric,0.33119719428123484
75% Corpus,5,symmetric,0.01,0.35455303643741404
75% Corpus,5,symmetric,0.31,0.3596733869297741
75% Corpus,5,symmetric,0.61,0.4242944922831031
75% Corpus,5,symmetric,0.9099999999999999,0.3432547147047219
75% Corpus,5,symmetric,symmetric,0.3428419973340405
75% Corpus,5,asymmetric,0.01,0.3467722754314953
75% Corpus,5,asymmetric,0.31,0.3497941687873907
75% Corpus,5,asymmetric,0.61,0.3592948336970217
75% Corpus,5,asymmetric,0.9099999999999999,0.306693386296565
75% Corpus,5,asymmetric,symmetric,0.3325600302671215
75% Corpus,6,0.01,0.01,0.3153572642677224
75% Corpus,6,0.01,0.31,0.3506668538244389
75% Corpus,6,0.01,0.61,0.3905488064667187
75% Corpus,6,0.01,0.9099999999999999,0.33073303932075304
75% Corpus,6,0.01,symmetric,0.30864786407262096
75% Corpus,6,0.31,0.01,0.3288037196110029
75% Corpus,6,0.31,0.31,0.3753340558831569
75% Corpus,6,0.31,0.61,0.3393972131912575
75% Corpus,6,0.31,0.9099999999999999,0.31798899212020526
75% Corpus,6,0.31,symmetric,0.324194595259445
75% Corpus,6,0.61,0.01,0.35900685117540876
75% Corpus,6,0.61,0.31,0.3498741072785319
75% Corpus,6,0.61,0.61,0.3500401021657051
75% Corpus,6,0.61,0.9099999999999999,0.3062593739742824
75% Corpus,6,0.61,symmetric,0.34827369697886756
75% Corpus,6,0.9099999999999999,0.01,0.3430530923416223
75% Corpus,6,0.9099999999999999,0.31,0.3170656098093081
75% Corpus,6,0.9099999999999999,0.61,0.3404910562988342
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.32188326144242346
75% Corpus,6,0.9099999999999999,symmetric,0.328838459826245
75% Corpus,6,symmetric,0.01,0.31399677007192733
75% Corpus,6,symmetric,0.31,0.379410333410077
75% Corpus,6,symmetric,0.61,0.36297333009164817
75% Corpus,6,symmetric,0.9099999999999999,0.30079672154791504
75% Corpus,6,symmetric,symmetric,0.3190211734923418
75% Corpus,6,asymmetric,0.01,0.32875445790785934
75% Corpus,6,asymmetric,0.31,0.3612308624166254
75% Corpus,6,asymmetric,0.61,0.35761352893805554
75% Corpus,6,asymmetric,0.9099999999999999,0.3378249408852802
75% Corpus,6,asymmetric,symmetric,0.33446452757584133
75% Corpus,7,0.01,0.01,0.3344205832999326
75% Corpus,7,0.01,0.31,0.35774710655402525
75% Corpus,7,0.01,0.61,0.3626846432648564
75% Corpus,7,0.01,0.9099999999999999,0.35281122514738383
75% Corpus,7,0.01,symmetric,0.3367741534771843
75% Corpus,7,0.31,0.01,0.3394442275272006
75% Corpus,7,0.31,0.31,0.3690895693000249
75% Corpus,7,0.31,0.61,0.38270471626970687
75% Corpus,7,0.31,0.9099999999999999,0.32870016562368537
75% Corpus,7,0.31,symmetric,0.32694146690717213
75% Corpus,7,0.61,0.01,0.3292913832824205
75% Corpus,7,0.61,0.31,0.36215814211964653
75% Corpus,7,0.61,0.61,0.34854197034499734
75% Corpus,7,0.61,0.9099999999999999,0.3361995040588558
75% Corpus,7,0.61,symmetric,0.3161235478205634
75% Corpus,7,0.9099999999999999,0.01,0.3380141537686614
75% Corpus,7,0.9099999999999999,0.31,0.33248920011193456
75% Corpus,7,0.9099999999999999,0.61,0.3292675016999456
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.3249395395711339
75% Corpus,7,0.9099999999999999,symmetric,0.3311393895071537
75% Corpus,7,symmetric,0.01,0.32516259199735464
75% Corpus,7,symmetric,0.31,0.34927227297841995
75% Corpus,7,symmetric,0.61,0.3481377702692985
75% Corpus,7,symmetric,0.9099999999999999,0.3420565584889945
75% Corpus,7,symmetric,symmetric,0.3399644182792645
75% Corpus,7,asymmetric,0.01,0.3543041362514668
75% Corpus,7,asymmetric,0.31,0.38216167605912443
